Unit;CPT01;
org.apache.cassandra.db.WriteResponse$WriteResponseSerializer;X;
org.apache.cassandra.db.columniterator.IColumnIterator;X;
org.apache.cassandra.db.columniterator.ICountableColumnIterator;X;
org.apache.cassandra.db.columniterator.IdentityQueryFilter;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader$BlockFetcher;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader$IndexedBlockFetcher;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader$SimpleBlockFetcher;X;
org.apache.cassandra.db.columniterator.SSTableNamesIterator;X;
org.apache.cassandra.db.columniterator.SSTableSliceIterator;X;
org.apache.cassandra.db.columniterator.SimpleAbstractColumnIterator;X;
org.apache.cassandra.db.columniterator.SimpleSliceReader;X;
org.apache.cassandra.db.commitlog.AbstractCommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.BatchCommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.BatchCommitLogExecutorService$CheaterFutureTask;X;
org.apache.cassandra.db.commitlog.CommitLog;X;
org.apache.cassandra.db.commitlog.CommitLog$LogRecordAdder;X;
org.apache.cassandra.db.commitlog.CommitLogMBean;X;
org.apache.cassandra.db.commitlog.CommitLogSegment;X;
org.apache.cassandra.db.commitlog.ICommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.PeriodicCommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.ReplayPosition;X;
org.apache.cassandra.db.commitlog.ReplayPosition$ReplayPositionSerializer;X;
org.apache.cassandra.db.compaction.AbstractCompactedRow;X;
org.apache.cassandra.db.compaction.AbstractCompactionIterable;X;
org.apache.cassandra.db.compaction.AbstractCompactionStrategy;X;
org.apache.cassandra.db.compaction.AbstractCompactionTask;X;
org.apache.cassandra.db.compaction.CompactionController;X;
org.apache.cassandra.db.compaction.CompactionInfo;X;
org.apache.cassandra.db.compaction.CompactionInfo$Holder;X;
org.apache.cassandra.db.compaction.CompactionIterable;X;
org.apache.cassandra.db.compaction.CompactionIterable$Reducer;X;
org.apache.cassandra.db.compaction.CompactionManager;X;
org.apache.cassandra.db.compaction.CompactionManager$CleanupInfo;X;
org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutor;X;
org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutorStatsCollector;X;
org.apache.cassandra.db.compaction.CompactionManager$ScrubInfo;X;
org.apache.cassandra.db.compaction.CompactionManager$SimpleFuture;X;
org.apache.cassandra.db.compaction.CompactionManager$ValidationCompactionIterable;X;
org.apache.cassandra.db.compaction.CompactionManager$ValidationExecutor;X;
org.apache.cassandra.db.compaction.CompactionManagerMBean;X;
org.apache.cassandra.db.compaction.CompactionTask;X;
org.apache.cassandra.db.compaction.LazilyCompactedRow;X;
org.apache.cassandra.db.compaction.LazilyCompactedRow$Reducer;X;
org.apache.cassandra.db.compaction.LeveledCompactionStrategy;X;
org.apache.cassandra.db.compaction.LeveledCompactionTask;X;
org.apache.cassandra.db.compaction.LeveledManifest;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$CompactedRowContainer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Deserializer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$NotifyingSSTableIdentityIterator;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer$DeserializedColumnIterator;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer$MergeTask;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$RowContainer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Unwrapper;X;
org.apache.cassandra.db.compaction.PrecompactedRow;X;
org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy;X;
org.apache.cassandra.db.context.CounterContext;X;
org.apache.cassandra.db.context.CounterContext$ContextState;X;
org.apache.cassandra.db.context.CounterContext$LazyHolder;X;
org.apache.cassandra.db.context.IContext;X;
org.apache.cassandra.db.filter.AbstractColumnIterator;X;
org.apache.cassandra.db.filter.IFilter;X;
org.apache.cassandra.db.filter.NamesQueryFilter;X;
org.apache.cassandra.db.filter.QueryFilter;X;
org.apache.cassandra.db.filter.QueryPath;X;
org.apache.cassandra.db.filter.SliceQueryFilter;X;
org.apache.cassandra.db.index.PerColumnSecondaryIndex;X;
org.apache.cassandra.db.index.PerRowSecondaryIndex;X;
org.apache.cassandra.db.index.SecondaryIndex;X;
org.apache.cassandra.db.index.SecondaryIndexBuilder;X;
org.apache.cassandra.db.index.SecondaryIndexManager;X;
org.apache.cassandra.db.index.SecondaryIndexSearcher;X;
org.apache.cassandra.db.index.keys.KeysIndex;X;
org.apache.cassandra.db.index.keys.KeysSearcher;X;
org.apache.cassandra.db.marshal.AbstractCommutativeType;X;
org.apache.cassandra.db.marshal.AbstractCompositeType;X;
org.apache.cassandra.db.marshal.AbstractCompositeType$ParsedComparator;X;
org.apache.cassandra.db.marshal.AbstractType;X;
org.apache.cassandra.db.marshal.AsciiType;X;
org.apache.cassandra.db.marshal.BooleanType;X;
org.apache.cassandra.db.marshal.BytesType;X;
org.apache.cassandra.db.marshal.CompositeType;X;
org.apache.cassandra.db.marshal.CompositeType$StaticParsedComparator;X;
org.apache.cassandra.db.marshal.CounterColumnType;X;
org.apache.cassandra.db.marshal.DateType;X;
org.apache.cassandra.db.marshal.DecimalType;X;
org.apache.cassandra.db.marshal.DoubleType;X;
org.apache.cassandra.db.marshal.DynamicCompositeType;X;
org.apache.cassandra.db.marshal.DynamicCompositeType$DynamicParsedComparator;X;
org.apache.cassandra.db.marshal.FloatType;X;
org.apache.cassandra.db.marshal.Int32Type;X;
org.apache.cassandra.db.marshal.IntegerType;X;
org.apache.cassandra.db.marshal.LexicalUUIDType;X;
org.apache.cassandra.db.marshal.LocalByPartionerType;X;
org.apache.cassandra.db.marshal.LongType;X;
org.apache.cassandra.db.marshal.MarshalException;X;
org.apache.cassandra.db.marshal.ReversedType;X;
org.apache.cassandra.db.marshal.TimeUUIDType;X;
org.apache.cassandra.db.marshal.TypeParser;X;
org.apache.cassandra.db.marshal.UTF8Type;X;
org.apache.cassandra.db.marshal.UTF8Type$UTF8Validator;X;
org.apache.cassandra.db.marshal.UUIDType;X;
org.apache.cassandra.db.migration.AddColumnFamily;X;
org.apache.cassandra.db.migration.AddKeyspace;X;
org.apache.cassandra.db.migration.DropColumnFamily;X;
org.apache.cassandra.db.migration.DropKeyspace;X;
org.apache.cassandra.db.migration.Migration;X;
org.apache.cassandra.db.migration.RenameColumnFamily;X;
org.apache.cassandra.db.migration.RenameKeyspace;X;
org.apache.cassandra.db.migration.UpdateColumnFamily;X;
org.apache.cassandra.db.migration.UpdateKeyspace;X;
org.apache.cassandra.dht.AbstractBounds;X;
org.apache.cassandra.dht.AbstractBounds$AbstractBoundsSerializer;X;
org.apache.cassandra.dht.AbstractByteOrderedPartitioner;X;
org.apache.cassandra.dht.BigIntegerToken;X;
org.apache.cassandra.dht.BootStrapper;X;
org.apache.cassandra.dht.BootStrapper$BootstrapTokenCallback;X;
org.apache.cassandra.dht.BootStrapper$BootstrapTokenVerbHandler;X;
org.apache.cassandra.dht.Bounds;X;
org.apache.cassandra.dht.ByteOrderedPartitioner;X;
org.apache.cassandra.dht.BytesToken;X;
org.apache.cassandra.dht.CollatingOrderPreservingPartitioner;X;
org.apache.cassandra.dht.IPartitioner;X;
org.apache.cassandra.dht.LocalPartitioner;X;
org.apache.cassandra.dht.LocalToken;X;
org.apache.cassandra.dht.OrderPreservingPartitioner;X;
org.apache.cassandra.dht.RandomPartitioner;X;
org.apache.cassandra.dht.Range;X;
org.apache.cassandra.dht.StringToken;X;
org.apache.cassandra.dht.Token;X;
org.apache.cassandra.dht.Token$TokenFactory;X;
org.apache.cassandra.dht.Token$TokenSerializer;X;
org.apache.cassandra.gms.ArrivalWindow;X;
org.apache.cassandra.gms.EndpointState;X;
org.apache.cassandra.gms.EndpointStateSerializer;X;
org.apache.cassandra.gms.EndpointStatesSerializationHelper;X;
org.apache.cassandra.gms.FailureDetector;X;
org.apache.cassandra.gms.FailureDetectorMBean;X;
org.apache.cassandra.gms.GossipDigest;X;
org.apache.cassandra.gms.GossipDigestAck2Message;X;
org.apache.cassandra.gms.GossipDigestAck2MessageSerializer;X;
org.apache.cassandra.gms.GossipDigestAck2VerbHandler;X;
org.apache.cassandra.gms.GossipDigestAckMessage;X;
org.apache.cassandra.gms.GossipDigestAckMessageSerializer;X;
org.apache.cassandra.gms.GossipDigestAckVerbHandler;X;
org.apache.cassandra.gms.GossipDigestSerializationHelper;X;
org.apache.cassandra.gms.GossipDigestSerializer;X;
org.apache.cassandra.gms.GossipDigestSynMessage;X;
org.apache.cassandra.gms.GossipDigestSynMessageSerializer;X;
org.apache.cassandra.gms.GossipDigestSynVerbHandler;X;
org.apache.cassandra.gms.Gossiper;X;
org.apache.cassandra.gms.Gossiper$GossipTask;X;
org.apache.cassandra.gms.GossiperMBean;X;
org.apache.cassandra.gms.HeartBeatState;X;
org.apache.cassandra.gms.HeartBeatStateSerializer;X;
org.apache.cassandra.gms.IEndpointStateChangeSubscriber;X;
org.apache.cassandra.gms.IFailureDetectionEventListener;X;
org.apache.cassandra.gms.IFailureDetector;X;
org.apache.cassandra.gms.IFailureNotification;X;
org.apache.cassandra.gms.PureRandom;X;
org.apache.cassandra.gms.VersionGenerator;X;
org.apache.cassandra.gms.VersionedValue;X;
org.apache.cassandra.gms.VersionedValue$VersionedValueFactory;X;
org.apache.cassandra.gms.VersionedValue$VersionedValueSerializer;X;
org.apache.cassandra.hadoop.ColumnFamilyInputFormat;X;
org.apache.cassandra.hadoop.ColumnFamilyInputFormat$SplitCallable;X;
org.apache.cassandra.hadoop.ColumnFamilyOutputFormat;X;
org.apache.cassandra.hadoop.ColumnFamilyOutputFormat$NullOutputCommitter;X;
org.apache.cassandra.hadoop.ColumnFamilyRecordReader;X;
org.apache.cassandra.hadoop.ColumnFamilyRecordReader$RowIterator;X;
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter;X;
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;X;
org.apache.cassandra.hadoop.ColumnFamilySplit;X;
org.apache.cassandra.hadoop.ConfigHelper;X;
org.apache.cassandra.io.IColumnSerializer;X;
org.apache.cassandra.io.ICompactSerializer;X;
org.apache.cassandra.io.ICompactSerializer2;X;
org.apache.cassandra.io.ICompactSerializer3;X;
org.apache.cassandra.io.SerDeUtils;X;
org.apache.cassandra.io.compress.CompressedRandomAccessReader;X;
org.apache.cassandra.io.compress.CompressedSequentialWriter;X;
org.apache.cassandra.io.compress.CompressedSequentialWriter$CompressedFileWriterMark;X;
org.apache.cassandra.io.compress.CompressionMetadata;X;
org.apache.cassandra.io.compress.CompressionMetadata$Chunk;X;
org.apache.cassandra.io.compress.CompressionMetadata$Writer;X;
org.apache.cassandra.io.compress.CompressionParameters;X;
org.apache.cassandra.io.compress.CorruptedBlockException;X;
org.apache.cassandra.io.compress.DeflateCompressor;X;
org.apache.cassandra.io.compress.ICompressor;X;
org.apache.cassandra.io.compress.ICompressor$WrappedArray;X;
org.apache.cassandra.io.compress.SnappyCompressor;X;
org.apache.cassandra.io.sstable.AbstractSSTableSimpleWriter;X;
org.apache.cassandra.io.sstable.BloomFilterTracker;X;
org.apache.cassandra.io.sstable.Component;X;
org.apache.cassandra.io.sstable.Descriptor;X;
org.apache.cassandra.io.sstable.IndexHelper;X;
org.apache.cassandra.io.sstable.IndexHelper$IndexInfo;X;
org.apache.cassandra.io.sstable.IndexSummary;X;
org.apache.cassandra.io.sstable.IndexSummary$KeyPosition;X;
org.apache.cassandra.io.sstable.KeyIterator;X;
org.apache.cassandra.io.sstable.ReducingKeyIterator;X;
org.apache.cassandra.io.sstable.SSTable;X;
org.apache.cassandra.io.sstable.SSTableBoundedScanner;X;
org.apache.cassandra.io.sstable.SSTableBoundedScanner$BoundedKeyScanningIterator;X;
org.apache.cassandra.io.sstable.SSTableDeletingTask;X;
org.apache.cassandra.io.sstable.SSTableIdentityIterator;X;
org.apache.cassandra.io.sstable.SSTableLoader;X;
org.apache.cassandra.io.sstable.SSTableLoader$Client;X;
