Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor;163.0;3.0;25.0;4.0;30.0;9.0;76.0;0.75;0.8076923076923077;2.0;0.0;14.0;10.0;33.0;16.0;21.0;23.0;12.0;1.0;2.0;2.0;0.0;6.0;0.0;2.0;2.0;1.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.EmptyColumns;83.0;0.0;22.0;3.0;16.0;9.0;91.0;0.9285714285714286;1.0;1.0;1.0;14.0;14.0;8.0;0.0;0.0;24.0;2.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.StandaloneScrubber;218.0;0.0;49.0;1.0;44.0;15.0;0.0;1.0;2.0;5.0;0.0;2.0;1.0;93.0;3.0;70.0;22.0;112.0;1.0;158.0;12.0;1.0;33.0;1.0;8.0;23.0;1.0;0.0;2.0;1.0;0.0;4.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;5.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql.Term;153.0;0.0;24.0;1.0;18.0;36.0;6.0;0.5;0.5714285714285714;3.0;0.0;8.0;8.0;22.0;0.0;0.0;44.0;18.0;2.0;7.0;1.0;0.0;10.0;0.0;1.0;5.0;2.0;1.0;1.0;2.0;2.0;1.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.columniterator.IndexedSliceReader;453.0;0.0;54.0;2.0;17.0;19.0;13.0;0.8181818181818181;0.9818181818181818;11.0;0.0;6.0;3.0;82.0;0.0;0.0;105.0;22.0;2.0;14.0;3.0;0.0;12.0;0.0;2.0;5.0;2.0;1.0;1.0;3.0;2.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.compaction.SSTableSplitter;78.0;0.0;27.0;1.0;2.0;0.0;0.0;0.5;0.5;2.0;0.0;1.0;1.0;7.0;4.0;29.0;6.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.transport.Frame$Compressor;21.0;0.0;17.0;2.0;5.0;6.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;5.0;5.0;20.0;7.0;17.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.MigrationRequestVerbHandler;11.0;0.0;18.0;1.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;6.0;2.0;17.0;1.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.cql3.CqlPagingInputFormat;26.0;0.0;20.0;3.0;6.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;5.0;0.0;0.0;4.0;13.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.net.CompactEndpointSerializationHelper;22.0;0.0;12.0;1.0;9.0;4.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;7.0;16.0;12.0;7.0;5.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
